Horodateur,Quel est votre âge?,Quel est votre sexe?,Quel est votre niveau d'études ? ,Quelle description correspond le mieux à votre statut professionnel actuel ?,"Afin de rendre aléatoire l'étape suivante, veuillez choisir un numéro entre 1 et 4.","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?","Vous recherchez un nouveau modèle de pneu pour votre Tesla Model 3. D'après les étiquettes des pneus et le prix par pneu, lequel choisiriez-vous ?",Quel est votre intérêt pour le sport automobile ? ,Quelles sont vos connaissances en matière de sport automobile ? ,Avez-vous déjà assisté à un événement de sport automobile ? ,Possédez-vous une voiture?,"Si oui, quel type de voiture possédez-vous ? ","Lors de l'achat d'une voiture ou d'une pièce détachée, quelle importance accordez-vous au fait qu'elle soit équipée d'une technologie issue du sport automobile ou qu'elle ait un lien quelconque avec le sport automobile ? ",Avez-vous déjà acheté une voiture ou une pièce détachée d'une marque impliquée dans le sport automobile ?,"À votre avis, quelle est l'efficacité du sport automobile en tant qu'outil de marketing pour les constructeurs et manufacturiers automobiles ? ",Avez-vous déjà été incité à acheter une voiture ou une pièce détachée en raison de l'implication de la marque en sport automobile ? ,"Selon vous, dans quelle mesure le sport automobile a-t-il un impact global sur la technologie et l'innovation dans le domaine de l'automobile ? ",Pensez-vous que le sport automobile peut contribuer au développement de technologies automobiles plus durables et plus respectueuses de l'environnement ? ,Pourquoi?
30/05/2023 13:54:51,35-44,Femme,Bac ou inférieur,Employé,2,,Michelin Pilot Sport 5,,,Légèrement intéressé,Légèrement informé,Oui,Oui,Berline,Pas du tout important,Je ne sais pas,Très efficace,Non,Beaucoup d'impact,Oui,Des essais sont effectués en grandeur nature
30/05/2023 14:16:35,25-34,Homme,Bac +5 (Master),Cadre dirigeant,3,,,Pirelli P Zero,,Extrêmement intéressé,Extrêmement informé,Oui,Non,,Légèrement important,Oui,Très efficace,Oui,Extrêmement d'impact,Oui,
30/05/2023 14:47:39,18-24,Femme,Bac +5 (Master),Étudiant,1,Pirelli P Zero,,,,Moyennement intéressé,Légèrement informé,Oui,Oui,Compacte,Pas du tout important,Oui,Moyennement efficace,Non,Beaucoup d'impact,Oui,
30/05/2023 15:48:40,35-44,Femme,Bac +5 (Master),Profession intermédiaire,3,,,Michelin Pilot Sport 5,,Pas du tout intéressé,Pas du tout informé,Oui,Oui,SUV,Légèrement important,Oui,Très efficace,Non,Beaucoup d'impact,Oui,
30/05/2023 16:45:58,65 ans et plus,Homme,Bac ou inférieur,Retraité,4,,,,Michelin Pilot Sport 5,Légèrement intéressé,Légèrement informé,Non,Oui,SUV,Pas du tout important,Non,Moyennement efficace,Non,Moyennement d'impact,Oui,Les gens recherchent la vitesse
30/05/2023 17:35:03,65 ans et plus,Homme,Bac +5 (Master),Retraité,1,Michelin Pilot Sport 5,,,,Très intéressé,Légèrement informé,Non,Oui,Berline,Très important,Oui,Légèrement efficace,Non,Moyennement d'impact,Oui,Fuel efficiency 
30/05/2023 17:42:45,55-64,Homme,Bac +5 (Master),Cadre dirigeant,4,,,,Michelin Pilot Sport 5,Pas du tout intéressé,Légèrement informé,Non,Oui,Break,Pas du tout important,Oui,Légèrement efficace,Non,Moyennement d'impact,Oui,Parce qu'il serait temps !
30/05/2023 17:59:57,55-64,Homme,Bac ou inférieur,Retraité,2,,Bridgestone Potenza Sport,,,Pas du tout intéressé,Légèrement informé,Non,Oui,Berline,Pas du tout important,Oui,Moyennement efficace,Non,Moyennement d'impact,Je ne suis pas certain,
30/05/2023 18:07:46,55-64,Homme,Bac ou inférieur,Employé,3,,,Bridgestone Potenza Sport,,Moyennement intéressé,Légèrement informé,Oui,Non,,Pas du tout important,Non,Très efficace,Oui,Beaucoup d'impact,Oui,Ils se donnent les moyens de pousser les recherches 
30/05/2023 18:09:31,Moins de 18,Femme,Bac ou inférieur,Étudiant,4,,,,Continental Sport Contact 7,Légèrement intéressé,Pas du tout informé,Non,Non,,Pas du tout important,Non,Très efficace,Non,Moyennement d'impact,Je ne suis pas certain,
30/05/2023 18:34:34,55-64,Homme,Bac +2,Employé,3,,,Michelin Pilot Sport 5,,Très intéressé,Moyennement informé,Oui,Oui,SUV,Moyennement important,Oui,Très efficace,Oui,Extrêmement d'impact,Oui,"Avec l’enjeu des nouvelles technologies sur les voitures électriques dans les années à venir, le sport automobile va apporter des améliorations."
30/05/2023 18:50:30,65 ans et plus,Femme,Bac ou inférieur,Retraité,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Légèrement informé,Oui,Oui,Berline,Pas du tout important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Je ne suis pas certain,Peut-être parce que les enjeux financiers sont les plus forts...
30/05/2023 18:52:21,45-54,Femme,Bac ou inférieur,Loueur de fonds,2,,Bridgestone Potenza Sport,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Compacte,Pas du tout important,Non,Moyennement efficace,Non,Moyennement d'impact,Oui,
30/05/2023 19:25:37,55-64,Homme,Bac ou inférieur,Employé,2,,Continental Sport Contact 7,,,Moyennement intéressé,Moyennement informé,Oui,Oui,SUV,Moyennement important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Oui,Car le sport automobile peut être une vitrine et à l'avant garde de l'automobile de demain.
30/05/2023 20:59:38,25-34,Homme,Bac +5 (Master),Salarié cadre ,2,,Michelin Pilot Sport 5,,,Moyennement intéressé,Moyennement informé,Oui,Oui,Compacte,Pas du tout important,Non,Moyennement efficace,Oui,Beaucoup d'impact,Je ne suis pas certain,La performance est nécessairement vecteur d'innovation toutefois je pense qu'il faudrait que des sports mécaniques ayant pour performance un critère écologique pour que cela serve cette cause. 
30/05/2023 21:03:28,55-64,Femme,Bac ou inférieur,Aide à la personne ,4,,,,Michelin Pilot Sport 5,Pas du tout intéressé,Pas du tout informé,Non,Oui,Berline,Pas du tout important,Non,Moyennement efficace,Non,Beaucoup d'impact,Je ne suis pas certain,
30/05/2023 22:22:29,45-54,Femme,Bac ou inférieur,Employé,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Légèrement informé,Oui,Oui,SUV,Moyennement important,Je ne sais pas,Très efficace,Non,Moyennement d'impact,Je ne suis pas certain,"Je pense que le sport mécanique doi être a  la perfection et doit toujours etre a la pointe de la performance en tout.consomation ,tenue de route ., poids,vitesse."
30/05/2023 22:42:46,18-24,Homme,Bac +3 (Licence / Bachelor),Employé,4,,,,Continental Sport Contact 7,Pas du tout intéressé,Légèrement informé,Non,Non,,Légèrement important,Non,Très efficace,Oui,Beaucoup d'impact,Je ne suis pas certain,"L'objectif du sport automobile est la performance, je ne suis pas certain que l'aspect environnement tient une place particulière durant le développement de la technologie."
31/05/2023 00:21:28,45-54,Homme,Bac ou inférieur,Ouvrier,2,,Michelin Pilot Sport 5,,,Légèrement intéressé,Légèrement informé,Non,Oui,Cabriolet ,Très important,Oui,Extrêmement efficace,Non,Extrêmement d'impact,Oui,C’est dans cet environnement que tout peut être testé jusqu’au dernier retranchement 
31/05/2023 00:29:43,18-24,Femme,Bac +5 (Master),Étudiant,4,,,,Bridgestone Potenza Sport,Moyennement intéressé,Légèrement informé,Non,Non,,Pas du tout important,Non,Légèrement efficace,Non,Beaucoup d'impact,Oui,
31/05/2023 00:37:12,18-24,Homme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Très intéressé,Moyennement informé,Non,Oui,Compacte,Pas du tout important,Je ne sais pas,Légèrement efficace,Non,Beaucoup d'impact,Oui,"La F1 est en train de développer un nouveau carburant 100% durable qu'il veut introduire d'ici 2026 , on peut donc imaginer qu'il soit accessible au grand public d'ici 2030 "
31/05/2023 06:23:10,45-54,Femme,Bac ou inférieur,Employé,3,,,Continental Sport Contact 7,,Moyennement intéressé,Moyennement informé,Non,Oui,Compacte,Pas du tout important,Oui,Légèrement efficace,Non,Beaucoup d'impact,Oui,
31/05/2023 07:36:50,55-64,Homme,Bac ou inférieur,Employé,3,,,Michelin Pilot Sport 5,,Moyennement intéressé,Pas du tout informé,Oui,Oui,SUV,Pas du tout important,Non,Moyennement efficace,Non,Beaucoup d'impact,Oui,Oui car c'est dans leur intérêt et dans l'air du temps.
31/05/2023 08:36:26,65 ans et plus,Femme,Bac +3 (Licence / Bachelor),Retraité,2,,Pirelli P Zero,,,Très intéressé,Moyennement informé,Oui,Oui,Berline,Légèrement important,Oui,Moyennement efficace,Oui,Moyennement d'impact,Oui,"En testant, on comprend l'impact sur l'environnement, perte d'huile et autre, consommation de carburant, abrasion des pneus.... "
31/05/2023 08:56:30,25-34,Homme,Bac +3 (Licence / Bachelor),Cadre dirigeant,1,Michelin Pilot Sport 5,,,,Extrêmement intéressé,Extrêmement informé,Oui,Oui,Familiale,Moyennement important,Oui,Extrêmement efficace,Oui,Extrêmement d'impact,Oui,C'est le meilleur laboratoire grandeur nature. J'ai vu démarrer la formula E à Pau sans que le championnat soit lancé. J'ai vu les premières courses avec changement de monoplaces. ça a permis de travailler sur a longévité de la batterie. Des exemples ainsi y'en a des millliers !
31/05/2023 09:07:32,25-34,Homme,Bac +5 (Master),Employé,3,,,Michelin Pilot Sport 5,,Moyennement intéressé,Moyennement informé,Oui,Oui,Compacte,Pas du tout important,Non,Moyennement efficace,Non,Extrêmement d'impact,Oui,
31/05/2023 14:20:56,65 ans et plus,Femme,Bac ou inférieur,Cadre dirigeant,2,,Michelin Pilot Sport 5,,,Pas du tout intéressé,Pas du tout informé,Non,Oui,Berline,Pas du tout important,Je ne sais pas,Légèrement efficace,Non,Beaucoup d'impact,Oui,Il n'y a que là qu'ils poussent la recherche 
31/05/2023 15:08:55,18-24,Homme,Bac +3 (Licence / Bachelor),Employé,1,Michelin Pilot Sport 5,,,,Moyennement intéressé,Légèrement informé,Non,Oui,Compacte,Légèrement important,Je ne sais pas,Moyennement efficace,Oui,Beaucoup d'impact,Oui,
31/05/2023 15:15:40,18-24,Femme,Bac +5 (Master),Étudiant,3,,,Michelin Pilot Sport 5,,Légèrement intéressé,Légèrement informé,Non,Non,,Très important,Je ne sais pas,Moyennement efficace,Non,Beaucoup d'impact,Oui,
03/05/2023 20:39:32,18-24,Male,Master's degree,,2,,Michelin Pilot Sport 5,,,Extremely interested,Moderately knowledgeable,Yes,No,,Very,Yes,Very effective,Yes,Extremely,Yes,Trying out technologies in extreme conditions
04/05/2023 11:50:27,18-24,Male,Master's degree,,4,,,,Michelin Pilot Sport 5,Moderately interested,Moderately knowledgeable,No,Yes,Sedan,Slightly,Yes,Extremely effective,Yes,Extremely,Unsure,Not enough knowledge
04/05/2023 20:07:18,18-24,Male,High school diploma or equivalent,,1,Bridgestone Potenza Sport,,,,Moderately interested,Moderately knowledgeable,Yes,Yes,Sports car,Slightly,Yes,Very effective,Yes,Very,Yes,
04/05/2023 22:10:24,18-24,Male,Master's degree,,4,,,,Michelin Pilot Sport 5,Moderately interested,Moderately knowledgeable,Yes,Yes,Sedan,Very,No,Moderately effective,Yes,Moderately,Yes,Because it’s a field that is constantly evolving
04/05/2023 22:33:38,18-24,Male,Master's degree,,1,Michelin Pilot Sport 5,,,,Extremely interested,Extremely knowledgeable,Yes,Yes,Convertible,Extremely,Yes,Extremely effective,Yes,Very,Yes,Motorsports are laboratories for brand to test new solutions and products 
10/05/2023 13:44:53,18-24,Female,Bachelor's degree,Employee,2,,Michelin Pilot Sport 5,,,Slightly interested,Not at all knowledgeable,Yes,No,,Moderately,No,Very effective,No,Very,Yes,
10/05/2023 14:40:14,25-34,Female,Master's degree,Student,3,,,Continental Sport Contact 7,,Not at all interested,Not at all knowledgeable,No,No,,Moderately,No,Slightly effective,No,Slightly,Yes,
15/05/2023 20:12:47,35-44,Female,Master's degree,Intermediate profession,1,Bridgestone Potenza Sport,,,,Slightly interested,Slightly knowledgeable,Yes,Yes,SUV,Moderately,Yes,Moderately effective,No,Moderately,Yes," as long as humans act responsibly, it can fast-forward the development of the sustainable and environmentally-friendly car technologies, since many are passionate by motorsports"
25/05/2023 13:15:13,45-54,Male,Some college or associate degree,Employee,3,,,Michelin Pilot Sport 5,,Very interested,Moderately knowledgeable,Yes,Yes,Truck,Moderately,Yes,Moderately effective,Yes,Very,Yes,
25/05/2023 13:52:34,25-34,Male,Master's degree,Employee,4,,,,Michelin Pilot Sport 5,Slightly interested,Slightly knowledgeable,No,Yes,Sedan,Very,Yes,Moderately effective,Yes,Moderately,Unsure,"Motorsport by nature is not fuel efficient, its about going fast. These are two conflicting parameters and it is very difficult to improve one without compromising on the other. "
25/05/2023 16:42:40,45-54,Female,Master's degree,Employee,4,,,,Michelin Pilot Sport 5,Extremely interested,Very knowledgeable,Yes,Yes,SUV,Moderately,Yes,Very effective,Yes,Very,Yes,Motorsports is a testing ground for new and innovative technologies that eventually make it into normal production tires.
30/05/2023 11:40:27,35-44,Male,Master's degree,Employee,3,,,Continental Sport Contact 7,,Extremely interested,Extremely knowledgeable,Yes,Yes,Sedan,Moderately,Yes,Extremely effective,Yes,Extremely,Yes,Best engineers in the world are forced to develop efficient solutions in a short period of time.
30/05/2023 19:43:32,55-64,Male,Master's degree,Employee,4,,,,Michelin Pilot Sport 5,Very interested,Moderately knowledgeable,Yes,Yes,"Sedan, SUV, Sports car, camionette / light duty truck (Chevrolet Silverado 1500)",Slightly,Yes,Moderately effective,Yes,Moderately,Yes,Racing vehicles and parts do not have same homologation process as regular items so can try more innovative things without the shackles of regulations.
